abbreviation,name,year,value
slo,Southern Lorraine,1380,NA
srv,Southern Rhone valley,1380,NA
swi,Switzerland (Leman Lake),1380,NA
vse,Various South-East,1380,NA
vpc,Vendée - Poitou Charente,1380,NA
als,Alsace,1381,NA
auv,Auvergne,1381,NA
aux,Auxerre-Avalon,1381,NA
bea,Beaujolais and Maconnais,1381,NA
bor,Bordeaux,1381,NA
bur,Burgundy,1381,21.272727272727273
cha1,Champagne 1,1381,NA
cha2,Champagne 2,1381,NA
gai,Gaillac- South-West,1381,NA
ger,Germany,1381,NA
hlv,High Loire Valley,1381,NA
idf,Ile de France,1381,NA
jur,Jura,1381,NA
lan,Languedoc,1381,NA
llv,Low Loire Valley,1381,NA
lux,Luxembourg,1381,NA
mar,Maritime alps,1381,NA
nit,Northern Italy,1381,NA
nlo,Northern  Lorraine,1381,NA
nrv,Northern Rhone valley,1381,NA
sav,Savoie,1381,NA
spa,Spain,1381,NA
slo,Southern Lorraine,1381,NA
srv,Southern Rhone valley,1381,NA
swi,Switzerland (Leman Lake),1381,NA
vse,Various South-East,1381,NA
vpc,Vendée - Poitou Charente,1381,NA
als,Alsace,1382,NA
auv,Auvergne,1382,NA
aux,Auxerre-Avalon,1382,NA
bea,Beaujolais and Maconnais,1382,NA
bor,Bordeaux,1382,NA
bur,Burgundy,1382,14.365530303030303
cha1,Champagne 1,1382,NA
cha2,Champagne 2,1382,NA
gai,Gaillac- South-West,1382,NA
ger,Germany,1382,NA
hlv,High Loire Valley,1382,NA
idf,Ile de France,1382,NA
jur,Jura,1382,NA
lan,Languedoc,1382,NA
llv,Low Loire Valley,1382,NA
lux,Luxembourg,1382,NA
mar,Maritime alps,1382,NA
nit,Northern Italy,1382,NA
nlo,Northern  Lorraine,1382,NA
nrv,Northern Rhone valley,1382,NA
sav,Savoie,1382,NA
spa,Spain,1382,NA
slo,Southern Lorraine,1382,NA
srv,Southern Rhone valley,1382,NA
swi,Switzerland (Leman Lake),1382,NA
vse,Various South-East,1382,NA
vpc,Vendée - Poitou Charente,1382,NA
als,Alsace,1383,NA
auv,Auvergne,1383,NA
aux,Auxerre-Avalon,1383,NA
bea,Beaujolais and Maconnais,1383,NA
bor,Bordeaux,1383,NA
bur,Burgundy,1383,4.777777777777779
cha1,Champagne 1,1383,NA
cha2,Champagne 2,1383,NA
gai,Gaillac- South-West,1383,NA
ger,Germany,1383,NA
hlv,High Loire Valley,1383,NA
idf,Ile de France,1383,NA
jur,Jura,1383,NA
lan,Languedoc,1383,NA
llv,Low Loire Valley,1383,NA
lux,Luxembourg,1383,NA
mar,Maritime alps,1383,NA
nit,Northern Italy,1383,NA
nlo,Northern  Lorraine,1383,NA
nrv,Northern Rhone valley,1383,NA
sav,Savoie,1383,NA
spa,Spain,1383,NA
slo,Southern Lorraine,1383,NA
srv,Southern Rhone valley,1383,NA
swi,Switzerland (Leman Lake),1383,NA
vse,Various South-East,1383,NA
vpc,Vendée - Poitou Charente,1383,NA
als,Alsace,1384,NA
auv,Auvergne,1384,NA
aux,Auxerre-Avalon,1384,NA
bea,Beaujolais and Maconnais,1384,NA
bor,Bordeaux,1384,NA
bur,Burgundy,1384,6.272727272727273
cha1,Champagne 1,1384,NA
